Titre,Année de sortie,Type de jeu,Description,Console,Cover,Lien IGN,Note IGN,Lien Metacritic,Lien Jeuxvideo.com,Note Jeuxvideo.com,Note Metacritic
Uncharted 2: Among Thieves,2009,Action-aventure,"Chef-d'œuvre du studio Naughty Dog sorti en 2009 sur PS3, Uncharted 2: Among Thieves est un monument du jeu d'action-aventure cinématographique. On y suit l'aventurier Nathan Drake sur les traces de la cité légendaire de Shambhala et de la pierre de Cintamani à travers le Népal et l'Himalaya. Le titre impressionne par sa mise en scène spectaculaire sans aucun temps de chargement et ses fusillades d'une fluidité exemplaire. C'est une œuvre majeure récompensée par de très nombreuses distinctions internationales.",PS3,uncharted-2-among-thieves,https://www.ign.com/games/uncharted-2-among-thieves,9.5,https://www.metacritic.com/game/uncharted-2-among-thieves,https://www.jeuxvideo.com/jeux/jeu-66967/,19,96
Resident Evil 5,2009,Action-horreur,"Sorti en 2009 sur PS3, Resident Evil 5 transpose la célèbre franchise de survival horror sous le soleil étouffant de l'Afrique subsaharienne. Le joueur y incarne Chris Redfield flanqué de sa nouvelle coéquipière Sheva Alomar pour enquêter sur une menace biologique dérivée du parasite Las Plagas. Conçu prioritairement pour la coopération à deux joueurs, le jeu propose une action frénétique et un arsenal d'armes impressionnant face à des hordes d'infectés. Sa réalisation technique de haut vol en fait un blockbuster marquant.",PS3,resident-evil-5,https://www.ign.com/games/resident-evil-5,9.3,https://www.metacritic.com/game/resident-evil-5,https://www.jeuxvideo.com/jeux/jeu-63969/,16,83
Saints Row 2,2008,Action-aventure,"Paru en 2008 sur PS3, Saints Row 2 s'affirme comme un jeu d'action en monde ouvert totalement déjanté et irrévérencieux dans la ville de Stilwater. Le joueur y personnalise entièrement son personnage avant de rebâtir le gang des Third Street Saints à coup de pistolets, de bazookas et de cascades folles. Le titre brille par la liberté totale accordée au joueur et la diversité de ses activités annexes toutes plus absurdes les unes que les autres. C'est un véritable bac à sable d'amusement, particulièrement complet en mode coopératif.",PS3,saints-row-2,https://www.ign.com/games/saints-row-2,8.2,https://www.metacritic.com/game/saints-row-2,https://www.jeuxvideo.com/jeux/jeu-65899/,15,81
Grand Theft Auto IV,2008,Action-aventure,"Grand Theft Auto IV, sorti en 2008 sur PS3, a marqué un virage mature et réaliste d'une profondeur saisissante pour la saga de Rockstar Games. Dans la peau de Niko Bellic, un immigrant est-européen débarquant à Liberty City, le joueur découvre l'envers du décor du rêve américain. La ville regorge de vie avec un moteur physique Euphoria révolutionnaire pour la gestion des véhicules et des impacts de balles. C'est une œuvre magistrale au scénario captivant qui figure parmi les plus grands chefs-d'œuvre du jeu vidéo.",PS3,grand-theft-auto-iv,https://www.ign.com/games/grand-theft-auto-iv,10,https://www.metacritic.com/game/grand-theft-auto-iv,https://www.jeuxvideo.com/jeux/jeu-64244/,18,98
Grand Theft Auto : Episodes from Liberty City,2010,Action-aventure,"Sorti en 2010 sur PS3, Grand Theft Auto : Episodes from Liberty City réunit sur un même disque autonome les deux épisodes de GTA IV : The Lost and Damned et The Ballad of Gay Tony. Le joueur incarne successivement Johnny Klebitz, biker des Lost, puis Luis Lopez, associé du propriétaire de boîtes de nuit Tony Prince, pour vivre Liberty City sous un autre angle. Courses de motos retravaillées, parachutisme, tanks et missions toujours plus délirantes enrichissent le moteur du jeu de base. Un stand-alone généreux qui prolonge brillamment l'aventure de Niko Bellic.",PS3,gta-episodes-from-liberty-city,https://www.ign.com/games/grand-theft-auto-iv-episodes-from-liberty-city,9.2,https://www.metacritic.com/game/grand-theft-auto-episodes-from-liberty-city/,https://www.jeuxvideo.com/jeux/playstation-3-ps3/00035954-grand-theft-auto-episodes-from-liberty-city.htm,17,90
Mirror's Edge,2008,Action-plateforme,"Sorti en 2008 sur PlayStation 3, Mirror's Edge est un jeu d'action révolutionnaire en vue à la première personne axé sur l'art du parkour urbain. Le joueur incarne Faith, une messagère luttant contre un régime totalitaire dans une métropole épurée aux couleurs éclatantes. La prise en main fluide privilégie l'agilité, la conservation de la vitesse et le saut d'obstacle au détriment des armes à feu. Sa direction artistique unique et ses sensations de vertige saisissantes en font une expérience inoubliable.",PS3,mirror-s-edge,https://www.ign.com/games/mirrors-edge,8.5,https://www.metacritic.com/game/mirrors-edge/,https://www.jeuxvideo.com/jeux/jeu-66286/,17,79
Star Wars : Le Pouvoir de la Force,2008,Action,"Paru en 2008 sur PS3, Star Wars : Le Pouvoir de la Force explore la période méconnue située entre les Épisodes III et IV de la saga spatiale. Le joueur y incarne Starkiller, l'apprenti secret de Dark Vador envoyé traquer les derniers Jedi survivants à travers la galaxie. Le titre brille par son moteur physique spectaculaire permettant de projeter des stormtroopers et des objets imposants grâce au pouvoir démesuré de la Force. C'est un jeu d'action intense qui comblera tous les passionnés de l'univers Star Wars.",PS3,star-wars-le-pouvoir-de-la-force,https://www.ign.com/games/star-wars-the-force-unleashed,7.3,https://www.metacritic.com/game/star-wars-the-force-unleashed/,https://www.jeuxvideo.com/jeux/jeu-65585/,15,73
Uncharted 3: L'Illusion de Drake,2011,Action-aventure,"Sorti en 2011 sur PS3, Uncharted 3: L'Illusion de Drake emmène le célèbre explorateur Nathan Drake à la recherche de la cité perdue d'Iram dans le désert du Rub al-Khali. Ce jeu d'action-aventure repousse encore plus loin les limites visuelles de la console avec des décors à couper le souffle comme un cargo en perdition ou un crash d'avion dans les dunes. Les affrontements au corps à corps ont été enrichis et les énigmes architecturales s'avèrent gratifiantes. C'est un divertissement grandiose au rythme haletant.",PS3,uncharted-3-l-illusion-de-drake,https://www.ign.com/games/uncharted-3-drakes-deception,10,https://www.metacritic.com/game/uncharted-3-drakes-deception/,https://www.jeuxvideo.com/jeux/jeu-73461/,18,92
Battlefield: Bad Company 2,2010,Tir à la première personne (FPS),"Battlefield: Bad Company 2, commercialisé en 2010 sur PS3, est un jeu de tir à la première personne salué pour son multijoueur d'une efficacité redoutable. Sa campagne solo humoristique suit une escouade de soldats décalés engagés dans des zones de conflit explosives. C'est toutefois son moteur physique Frostbite, permettant de détruire quasi intégralement les bâtiments et décors, qui fait la différence lors de combats en ligne dantesques. Ses cartes immenses et sa jouabilité poussée en véhicules en font un titre incontournable.",PS3,battlefield-bad-company-2,https://www.ign.com/games/battlefield-bad-company-2,8.9,https://www.metacritic.com/game/battlefield-bad-company-2,https://www.jeuxvideo.com/jeux/jeu-71605/,17,88
God of War III,2010,Action-aventure,"Sorti en 2010 sur PS3, God of War III conclut de façon titanesque la vengeance sanglante du Spartan Kratos contre le panthéon des dieux grecs. Le titre s'ouvre sur un affrontement monumental à l'échelle des Titans gravissant le Mont Olympe qui reste gravé dans l'histoire des jeux d'action. Le système de combat offre des enchaînements ravageurs grâce aux Lames de l'Exil et à de nouvelles armes divines surpuissantes. Sa réalisation graphique éblouissante et son rythme dantesque en font un chef-d'œuvre de la console.",PS3,god-of-war-iii,https://www.ign.com/games/god-of-war-iii,9.3,https://www.metacritic.com/game/god-of-war-iii,https://www.jeuxvideo.com/jeux/playstation-3-ps3/00015868-god-of-war-iii.htm,19,92
Portal 2,2011,Puzzle-plateforme,"Portal 2, chef-d'œuvre de Valve sorti en 2011 sur PS3, perfectionne brillantissime la recette de réflexion et de plateforme à l'aide de portails dimensionnels. Le joueur y incarne Chell guidée malgré elle par l'I.A. sarcastique GLaDOS et le robot bavard Wheatley à travers les complexes abandonnés d'Aperture Science. Le titre introduit de nouvelles mécaniques fascinantes comme les gels de propulsion et de saut pour pimenter la résolution des énigmes.",PS3,portal-2,https://www.ign.com/games/portal-2,9.5,https://www.metacritic.com/game/portal-2,https://www.jeuxvideo.com/jeux/jeu-68897/,19,95
Assassin's Creed II,2009,Action-aventure,"Paru en 2009 sur PS3, Assassin's Creed II transporte le joueur en pleine Renaissance italienne dans la peau du jeune noble florentin Ezio Auditore da Firenze. Le titre affine considérablement la formule originale en offrant des villes majestueuses comme Venise ou Florence d'une richesse historique fascinante. L'escalade fluide des monuments et les assassinats furtifs au moyen de la double lame cachée procurent un plaisir de jeu renouvelé. C'est un épisode fondateur d'une immense beauté qui a consacré la franchise.",PS3,assassins-creed-ii,https://www.ign.com/games/assassins-creed-ii,9.2,https://www.metacritic.com/game/assassins-creed-ii,https://www.jeuxvideo.com/jeux/jeu-70770/,18,90
Rayman Origins,2011,Plateforme,"Rayman Origins, sorti en 2011 sur PS3, marque le retour magique et triomphal de la mascotte d'Ubisoft à la plateforme traditionnelle en 2D. Grâce au moteur UbiArt Framework, le jeu propose des graphismes dessinés à la main éclatants de couleurs et d'une fluidité irréprochable. Entièrement jouable à quatre en coopération sur le même écran, l'aventure offre un rythme frénétique et un level design d'une inventivité permanente. C'est un chef-d'œuvre d'humour et de poésie pour tous les amoureux du genre.",PS3,rayman-origins,https://www.ign.com/games/rayman-origins,9,https://www.metacritic.com/game/rayman-origins,https://www.jeuxvideo.com/jeux/jeu-75095/,19,87
Call of Duty: Black Ops 2,2012,Tir à la première personne (FPS),"Sorti en 2012 sur PS3, Call of Duty: Black Ops 2 innove brillamment en alternant sa narration entre la Guerre Froide des années 80 et un futur proche technologique en 2025. Le titre propose pour la première fois dans la série des choix scénaristiques influençant directement la fin du jeu ainsi que des missions tactiques optionnelles. Son multijoueur hautement compétitif introduit le populaire système Pick 10 pour une création de classe sur mesure d'une grande souplesse. Son mode Zombies complet vient parfaire une offre de jeu exceptionnelle.",PS3,call-of-duty-black-ops-2,https://www.ign.com/games/call-of-duty-black-ops-ii,9.3,https://www.metacritic.com/game/call-of-duty-black-ops-ii/,https://www.jeuxvideo.com/jeux/jeu-78294/,17,83
Red Dead Redemption,2010,Action-aventure,"Monument du jeu vidéo sorti en 2010 sur PS3, Red Dead Redemption plonge le joueur dans l'Amérique sauvage de 1911 à la fin de l'époque du Far West. On y incarne l'ancien hors-la-loi John Marston contraint de traquer ses anciens frères d'armes pour sauver sa famille. Le monde ouvert gigantesque émerveille par sa faune vivante, ses paysages magnifiques et ses duels au pistolet grâce à la jauge Sang-froid. C'est un western mélancolique et poignant doté d'une écriture et d'une bande-son inoubliables.",PS3,red-dead-redemption,https://www.ign.com/games/red-dead-redemption,9.7,https://www.metacritic.com/game/red-dead-redemption,https://www.jeuxvideo.com/jeux/jeu-71609/,18,95
Watch Dogs,2014,Action-aventure,"Paru en 2014 sur PS3, Watch Dogs est un jeu d'action en monde ouvert qui place le piratage informatique au cœur de son gameplay. Le joueur y contrôle Aiden Pearce, un hacker aguerri cherchant à venger sa famille dans la ville hyperconnectée de Chicago. À l'aide de son smartphone, il est possible de pirater les feux de circulation, de bloquer les réseaux électriques ou d'intercepter les communications des passants. C'est un titre moderne qui propose une approche tactique très originale des aventures urbaines.",PS3,watch-dogs,https://www.ign.com/games/watch-dogs,8.4,https://www.metacritic.com/game/watch-dogs,https://www.jeuxvideo.com/jeux/jeu-79064/,18,80
Fallout: New Vegas,2010,RPG,"Sorti en 2010 sur PS3, Fallout: New Vegas est un jeu de rôle exceptionnel développé par Obsidian Entertainment qui emmène le joueur dans le désert aride du Mojave. Dans la peau d'un coursier laissé pour mort, le joueur se retrouve au centre d'un conflit politique majeur opposant plusieurs factions pour le contrôle du barrage Hoover. Le titre brille par l'écriture remarquable de ses quêtes, sa grande liberté de choix et ses options de dialogue poussées. C'est une expérience RPG post-apocalyptique immersive d'une richesse rare.",PS3,fallout-new-vegas,https://www.ign.com/games/fallout-new-vegas,8.5,https://www.metacritic.com/game/fallout-new-vegas,https://www.jeuxvideo.com/jeux/jeu-72173/,17,84
LittleBigPlanet,2008,Plateforme,"LittleBigPlanet, sorti en 2008 sur PS3, est une œuvre d'une inventivité folle qui a popularisé le concept du jeu créatif sur console de salon. Le joueur y incarne Sackboy dans une aventure de plateforme poétique avant de pouvoir concevoir ses propres niveaux de A à Z grâce à un éditeur ultra-complet. La communauté mondiale a ainsi pu partager des millions de créations originales et variées accessibles à tous en ligne. C'est un jeu enchanteur, chaleureux et infiniment jouable entre amis.",PS3,littlebigplanet,https://www.ign.com/games/littlebigplanet,9.5,https://www.metacritic.com/game/littlebigplanet,https://www.jeuxvideo.com/jeux/jeu-65633/,18,95
Grand Theft Auto V,2014,Action-aventure,"Lancé en 2013 sur PS3, Grand Theft Auto V est un véritable chef-d'œuvre de l'industrie vidéo-ludique qui repousse toutes les limites de la console. Le jeu permet de basculer instantanément entre trois protagonistes hauts en couleur – Michael, Trevor et Franklin – dans la tentaculaire région de San Andreas. La réalisation de braquages minutieusement préparés et l'exploration d'un monde ouvert incroyablement détaillé offrent une liberté absolue. C'est un titre phénoménal au succès planétaire gigantesque.",PS3,gta-v,https://www.ign.com/games/grand-theft-auto-v,10,https://www.metacritic.com/game/grand-theft-auto-v/,https://www.jeuxvideo.com/jeux/jeu-73734/,18,97
Assassin's Creed IV: Black Flag,2013,Action-aventure,"Sorti en 2013 sur PS3, Assassin's Creed IV: Black Flag embarque le joueur à l'Âge d'or de la piraterie dans les Caraïbes du XVIIIe siècle. On y contrôle Edward Kenway, un capitaine pirate téméraire voguant d'île en île à bord de son navire, le Jackdaw. Le gameplay alterne entre l'exploration de cités coloniales et des batailles navales spectaculaires contre les armées espagnoles et britanniques. C'est une épopée maritime fantastique procurant un sentiment de liberté immense.",PS3,assassins-creed-iv-black-flag,https://www.ign.com/games/assassins-creed-iv-black-flag,8.5,https://www.metacritic.com/game/assassins-creed-iv-black-flag,https://www.jeuxvideo.com/jeux/jeu-80304/,16,88
Batman: Arkham City,2011,Action-aventure,"Chef-d'œuvre d'action-aventure sorti en 2011 sur PS3, Batman: Arkham City plonge le Chevalier Noir au cœur d'un quartier à ciel ouvert transformé en prison géante de haute sécurité. Le joueur survole les toits de la ville grâce à sa cape pour affronter les super-vilains iconiques comme le Joker, Double-Face ou le Penguin. Le système de combat FreeFlow atteint une perfection inégalée en permettant d'enchaîner coups et gadgets avec une fluidité spectaculaire. C'est l'adaptation ultime du super-héros de Gotham.",PS3,batman-arkham-city,https://www.ign.com/games/batman-arkham-city,9.5,https://www.metacritic.com/game/batman-arkham-city,https://www.jeuxvideo.com/jeux/jeu-74127/,19,94
Battlefield 3,2011,Tir à la première personne (FPS),"Incontournable jeu de tir à la première personne paru en 2011 sur PS3, Battlefield 3 impose des standards de guerre moderne impressionnants par son immersion sonore et visuelle. Sa campagne solo intense plonge le joueur au cœur de conflits internationaux majeurs aux quatre coins du globe. Son mode multijoueur reste un sommet du genre grâce à des batailles combinant infanterie, chars d'assaut et avions de chasse sur d'immenses cartes destructibles. C'est un titre majeur pour les amateurs de stratégie militaire.",PS3,battlefield-3,https://www.ign.com/games/battlefield-3,9,https://www.metacritic.com/game/battlefield-3,https://www.jeuxvideo.com/jeux/jeu-72613/,16,89
Battlefield 4,2013,Tir à la première personne (FPS),"Sorti en 2013 sur PS3, Battlefield 4 pousse l'expérience du combat militaire encore plus loin grâce à la technologie du moteur Frostbite 3. Le jeu introduit le concept novateur de Levolution, permettant de modifier en temps réel le paysage des cartes multijoueurs par des événements destructeurs massifs comme l'effondrement d'un gratte-ciel. La campagne solo offre des affrontements spectaculaires à travers une géopolitique fictive sous haute tension. C'est une référence indémodable pour les passionnés d'action tactique.",PS3,battlefield-4,https://www.ign.com/games/battlefield-4,8,https://www.metacritic.com/game/battlefield-4,https://www.jeuxvideo.com/jeux/jeu-77847/,16,81
Buzz! : Le Plus Malin Des Français,2008,Quiz,"Sorti en 2009 sur PS3, Buzz! : Le Plus Malin Des Français propose une édition spéciale du jeu de quiz entièrement personnalisée pour le public francophone. Fourni avec ses buzzers sans fil, le jeu permet d'affronter ses proches à travers des milliers de questions axées sur la culture générale, l'histoire et la télévision française. L'ambiance conviviale et l'humour incisif du présentateur virtuel Buzz font de chaque partie un moment de divertissement très réussi.",PS3,buzz-le-plus-malin-des-francais,,,,https://www.jeuxvideo.com/jeux/jeu-71550/,12,
Disque Découverte,2010,Démonstration / Utilitaire,"Le Disque Découverte fourni avec les premiers modèles de la PS3 servait de vitrine interactive pour présenter l'ensemble des fonctionnalités multimédias et en ligne de la console. Il permettait aux nouveaux acquéreurs d'essayer des démos jouables, de visionner des bandes-annonces en haute définition et de découvrir l'écosystème du PlayStation Network. C'était un outil pédagogique et ludique très complet pour explorer toutes les possibilités de la machine de Sony. Un objet témoin nostalgique du lancement de cette génération.",PS3,disque-decouverte,,,,,,
Tomb Raider,2013,Action-aventure,"Reboot magistral sorti en 2013 sur PS3, Tomb Raider redéfinit les origines de la légendaire aventurière Lara Croft avec une approche moderne et réaliste. Échouée sur une île mystérieuse du Japon au milieu d'une secte hostile, une jeune Lara inexpérimentée doit apprendre à survivre et à se battre. Le gameplay mêle adroitement exploration, plateforme immersive, chasse et fusillades viscérales. C'est une aventure poignante et intense qui marque le renouveau acclamé d'une franchise culte.",PS3,tomb-raider-2013,https://www.ign.com/games/tomb-raider,9.1,https://www.metacritic.com/game/tomb-raider,https://www.jeuxvideo.com/jeux/jeu-82393/,18,86
Star Wars: Battlefront II - Elite Trooper Deluxe Edition,2017,Tir à la première personne (FPS),"Sorti en 2017 sur PS4, Star Wars: Battlefront II - Elite Trooper Deluxe Edition offre une immersion spectaculaire au cœur des batailles iconiques de toute la saga spatiale. Le jeu propose une campagne solo inédite retraçant l'histoire d'Iden Versio, commandant de l'escouade impériale Inferno Squad après la chute de l'Empereur. Le mode multijoueur permet d'incarner les héros mythiques et de piloter des vaisseaux légendaires sur des cartes gigantesques à couper le souffle. Cette édition enrichie offre des bonus tactiques de départ appréciables pour les soldat d'élite.",PS4,star-wars-battlefront-ii-elite-trooper-deluxe-edition,https://www.ign.com/games/star-wars-battlefront-ii,8.8,https://www.metacritic.com/game/star-wars-battlefront-ii/,https://www.jeuxvideo.com/jeux/jeu-485520/,16,68
CTR: Crash Team Racing Nitro-Fueled,2019,Course de karting,"Remake somptueux sorti en 2019 sur PS4, CTR: Crash Team Racing Nitro-Fueled refait briller le jeu de course culte de la PlayStation 1 avec des graphismes 4K éblouissants. Le titre reprend l'intégralité du contenu original tout en y ajoutant les circuits, personnages et karts de Crash Nitro Kart et Crash Tag Team Racing. Il propose un mode en ligne compétitif ainsi qu'une personnalisation poussée des véhicules et des pilotes. C'est le jeu de course de karts ultime pour jouer en famille ou entre amis sur consoles modernes.",PS4,ctr-crash-team-racing-nitro-fueled,https://www.ign.com/games/crash-team-racing-nitro-fueled,8.2,https://www.metacritic.com/game/crash-team-racing-nitro-fueled/,https://www.jeuxvideo.com/jeux/jeu-970403/,18,83
It Takes Two,2021,Aventure-coopératif,"Chef-d'œuvre récompensé par le titre de Jeu de l'Année 2021, It Takes Two est une aventure exclusivement coopérative d'une inventivité rare sur PS4. On y suit Cody et May, un couple au bord du divorce transformé en poupées de son qui doivent collaborer pour retrouver leur fille. Chaque chapitre introduit des mécaniques de gameplay inédites et variées allant de la manipulation du temps au tir d'attraction magnétique. C'est une expérience poétique, drôle et incroyablement gratifiante à partager obligatoirement à deux joueurs.",PS4,it-takes-two,https://www.ign.com/games/it-takes-two,9,https://www.metacritic.com/game/it-takes-two,https://www.jeuxvideo.com/jeux/jeu-1243180/,18,88
Red Dead Redemption 2,2018,Action-aventure,"Chef-d'œuvre absolu de Rockstar Games sorti en 2018 sur PS4, Red Dead Redemption 2 raconte l'épopée tragique d'Arthur Morgan et de la bande de Dutch van der Linde. Dans un monde ouvert d'un niveau de détail et d'un réalisme jamais vus, le joueur vit au rythme des feux de camp, de la chasse et des braquages. L'écriture exceptionnelle des personnages s'accompagne d'une direction artistique grandiose représentant le déclin de l'Ouest sauvage. C'est une œuvre culturelle monumentale d'une profondeur émotionnelle rare.",PS4,red-dead-redemption-2,https://www.ign.com/games/red-dead-redemption-2,10,https://www.metacritic.com/game/red-dead-redemption-2,https://www.jeuxvideo.com/jeux/jeu-554033/,19,97
Metro Exodus,2019,FPS / Survival Horror,"Paru en 2019 sur PS4, Metro Exodus est un FPS post-apocalyptique saisissant qui emmène Artyom et ses compagnons dans un grand voyage à bord de la locomotive Aurora. En quittant les tunnels sombres du métro moscovite, le groupe traverse la Russie dévastée à travers d'immenses niveaux semi-ouverts évoluant au fil des saisons. Le titre privilégie l'immersion totale avec un entretien régulier de l'équipement et une gestion méticuleuse des munitions artisanales. C'est une aventure éprouvante et captivante portée par une atmosphère unique.",PS4,metro-exodus,https://www.ign.com/games/metro-exodus,8.5,https://www.metacritic.com/game/metro-exodus,https://www.jeuxvideo.com/jeux/jeu-669725/,16,82
Watch Dogs Legion,2020,Action-aventure / Tir FPS,"Sorti en 2020 sur PS4, Watch Dogs Legion propose un concept novateur au cœur d'un Londres dystopique sous le contrôle d'une milice privée. Le joueur a la capacité unique de recruter et d'incarner littéralement n'importe quel habitant de la ville aperçu dans la rue, du hacker de génie à la petite mamie retraitée. Chaque citoyen possède ses propres compétences, gadgets et parcours personnels qu'il convient d'exploiter pour organiser la résistance. C'est un bac à sable technologique impressionnant et original.",PS4,watch-dogs-legion,https://www.ign.com/games/watch-dogs-legion,8,https://www.metacritic.com/game/watch-dogs-legion,https://www.jeuxvideo.com/jeux/jeu-831746/,16,76
Horizon Zero Dawn,2017,Action-aventure,"Sorti en 2017 sur PS4, Horizon Zero Dawn est un jeu d'action-RPG grandiose qui dépeint un futur post-apocalyptique où la nature a repris ses droits et où d'immenses machines animales arpentent la Terre. Le joueur incarne Aloy, une chasseresse hors-pair cherchant à découvrir les origines de son monde et le secret de sa naissance. Le système de combat tactique exige d'analyser les points faibles des créatures mécaniques pour détruire leurs pièces à l'aide d'arcs et de pièges. C'est un titre splendide au scénario captivant.",PS4,horizon-zero-dawn,https://www.ign.com/games/horizon-zero-dawn,9.3,https://www.metacritic.com/game/horizon-zero-dawn,https://www.jeuxvideo.com/jeux/jeu-429582/,18,89
Grand Theft Auto V,2014,Action-aventure,"Incontournable monument du jeu vidéo réédité sur PS4 en 2014, Grand Theft Auto V tire pleinement parti de la puissance de la console pour afficher des graphismes retravaillés et une vue à la première personne inédite. Le joueur suit les destins croisés de trois criminels déjantés accomplissant des braquages d'envergure dans la métropole de Los Santos. Son monde ouvert offre une liberté d'action monumentale complétée par un mode multijoueur GTA Online au contenu titanesque. C'est l'un des jeux les plus populaires de l'histoire.",PS4,gta-v-ps4,https://www.ign.com/games/grand-theft-auto-v,10,https://www.metacritic.com/game/grand-theft-auto-v,https://www.jeuxvideo.com/jeux/jeu-73734/,18,97
Marvel's Guardians of the Galaxy,2021,Action-aventure,"Sorti en 2021 sur PS5, Marvel's Guardians of the Galaxy est un jeu d'action-aventure survitaminé qui met à l'honneur l'équipe la plus déjantée de l'univers Marvel. Dans la peau de Star-Lord, le joueur dirige la bande en plein combat en lançant les attaques combinées de Gamora, Drax, Rocket et Groot. L'écriture remarquable regorge d'humour, de réparties hilarantes et de moments d'émotion poignants au son d'une bande-son rock des années 80 fantastique. C'est une aventure spatiale hautement réjouissante.",PS5,marvels-guardians-of-the-galaxy,https://www.ign.com/games/marvels-guardians-of-the-galaxy,8,https://www.metacritic.com/game/marvels-guardians-of-the-galaxy/,https://www.jeuxvideo.com/jeux/jeu-1422336/,16,80
The Last of Us Part II Remastered,2024,Action-aventure,"Sorti en 2024 sur PS5, The Last of Us Part II Remastered sublime l'œuvre poignante et intense de Naughty Dog avec des graphismes 4K, des temps de chargement quasi instantanés et le support des retours haptiques DualSense. Le jeu retrace le parcours sombre d'Ellie et d'Abby dans une quête de vengeance dévorante à travers un Seattle dévasté. Cette version enrichie propose également le mode roguelike inédit « Sans Retour » mettant à l'épreuve vos compétences de survie. C'est l'édition définitive d'un chef-d'œuvre contemporain.",PS5,the-last-of-us-part-ii-remastered,https://www.ign.com/games/the-last-of-us-part-ii-remastered,,https://www.metacritic.com/game/the-last-of-us-part-ii-remastered,https://www.jeuxvideo.com/jeux/jeu-412342/,19,90
Marvel's Spider-Man: Miles Morales,2020,Action-aventure / Monde ouvert,"Titre phare du lancement de la PS5 en 2020, Marvel's Spider-Man: Miles Morales met en scène le jeune apprenti super-héros défendant Harlem pendant les fêtes de fin d'année. Miles se distingue de Peter Parker grâce à ses pouvoirs bio-électriques dévastateurs et son pouvoir d'invisibilité temporaire. Le jeu tire pleinement parti du SSD de la console pour offrir un tissage de toile supersonique sans aucun temps de chargement à travers New York. C'est une aventure dynamique et visuellement éblouissante.",PS5,spider-man-miles-morales,https://www.ign.com/games/marvels-spider-man-miles-morales,9,https://www.metacritic.com/game/marvels-spider-man-miles-morales/,https://www.jeuxvideo.com/jeux/jeu-1237524/,16,85
Marvel's Spider-Man 2,2023,Action-aventure / Monde ouvert,"Lancé en 2023 en exclusivité sur PS5, Marvel's Spider-Man 2 est une démonstration de force technique permettant d'incarner simultanément Peter Parker et Miles Morales. Les deux héros doivent faire face à des menaces redoutables telles que Kraven le Chasseur et le symbiote Venom. Le terrain de jeu s'agrandit considérablement avec l'ajout de Brooklyn et du Queens que l'on traverse à toute vitesse grâce aux nouvelles ailes de toile. Sa mise en scène impressionnante et son gameplay jubilatoire en font un incontournable de la console.",PS5,spider-man-2,https://www.ign.com/games/marvels-spider-man-2,8,https://www.metacritic.com/game/marvels-spider-man-2/,https://www.jeuxvideo.com/jeux/jeu-1459477/,17,90
Kena: Bridge of Spirits,2021,Action-aventure,"Sorti en 2021 sur PS5, Kena: Bridge of Spirits est un magnifique jeu d'action-aventure qui émerveille dès les premières minutes par sa direction artistique digne d'un film d'animation. Le joueur incarne Kena, une jeune guide spirituelle qui voyage dans un village abandonné pour aider les âmes égarées à trouver la paix. L'héroïne est accompagnée des Rots, de mignonnes petites créatures de la forêt qui l'aident lors des énigmes et soutiennent ses attaques au combat. Derrière ses visuels enchanteurs se cache un défi technique et nerveux surprenant.",PS5,kena-bridge-of-spirits,https://www.ign.com/games/kena-bridge-of-spirits,8,https://www.metacritic.com/game/kena-bridge-of-spirits,https://www.jeuxvideo.com/jeux/jeu-1237800/,18,81
The Last of Us Part I,2022,Action-aventure,"Remake intégral du chef-d'œuvre fondateur de 2013, The Last of Us Part I est sorti en 2022 sur PS5 pour offrir l'expérience visuelle ultime du voyage de Joel et Ellie. Entièrement reconstruit avec le moteur graphique récent de Naughty Dog, le titre propose des visuels photoréalistes et une intelligence artificielle ennemie considérablement modernisée. L'intégration minutieuse des manettes DualSense permet d'éprouver la tension de chaque tir d'arc et de chaque coup porté. C'est la version absolue d'une œuvre narrative magistrale.",PS5,the-last-of-us-part-i,https://www.ign.com/games/the-last-of-us-part-1,9,https://www.metacritic.com/game/the-last-of-us-part-i,https://www.jeuxvideo.com/jeux/jeu-1586026/,17,89
Split Fiction,2025,Aventure / Plateforme,"Sorti sur PS5, Split Fiction propose une expérience originale de jeu d'action-aventure tirant parti des technologies modernes de la console de Sony. Le titre se démarque par des mécaniques de gameplay fluides et un univers visuel soigné qui plonge le joueur dans un récit captivant. Les affrontements stratégiques et la résolution d'énigmes dans les décors demandent réactivité et sens de l'observation. C'est un titre rafraîchissant pour les amateurs d'expériences narratives et d'action dynamique.",PS5,split-fiction,https://www.ign.com/games/split-fiction,9,https://www.metacritic.com/game/split-fiction,https://www.jeuxvideo.com/jeux/jeu-1953441/,18,91
Star Wars Jedi: Survivor,2023,Action-aventure / Souls-like,"Paru en 2023 sur PS5, Star Wars Jedi: Survivor poursuit les aventures de Cal Kestis désormais devenu un Chevalier Jedi accompli luttant contre l'Empire. Le jeu élargit considérablement les horizons de son prédécesseur avec des planètes gigantesques à explorer riches en secrets et en défis. Cal maîtrise de nouvelles postures de combat au sabre laser, incluant le maniement de deux sabres simultanément ou la garde lourde à deux mains. C'est une aventure épique, spectaculaire et passionnante pour tous les amoureux de la saga.",PS5,star-wars-jedi-survivor,https://www.ign.com/games/star-wars-jedi-survivor,9,https://www.metacritic.com/game/star-wars-jedi-survivor,https://www.jeuxvideo.com/jeux/jeu-1579997/,17,85
